name,category,season,popularity,support,machine,houseallegiance,learningCurve,license,website,functionality,image
ArcGIS Online,Web-mapping tool,Personal computer / NYU Labs,4,Yes,Web-based,"Kingsguard, Lannister",Intermediate,Proprietary (Free for NYU),Faith of the Seven,"Data Discovery, Basic Visualization, Web Mapping, Thematic Maps, Geocoding, Multimedia Support, Proximity Analysis, Hot-spot Analysis, Time Series, Network Analysis, Geo-statistical Analysis, 3D analysis",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/arc_gis_icon.png
ESRI StoryMaps,Web-mapping tool,Personal computer / VCL / NYU Labs,5,Yes,Web-based,"Night's Watch, Tarly",Beginner,Proprietary (Free for NYU),"Faith of the Seven, Old Gods of the Forest","Basic Visualization, Web Mapping, Thematic Maps, Multimedia Support, Advanced Visualization",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/arc_gis_icon.png
Carto,Web-mapping tool,Personal computer / VCL / NYU Labs,5,Yes,Web-based,"Bolton, Greyjoy, Stark",Beginner,Proprietary (Free for NYU),Drowned God,"Basic Visualization, Web Mapping, Thematic Maps, Multimedia Support, Time Series, Advanced Visualization",https://upload.wikimedia.org/wikipedia/commons/4/43/Logo_CARTO_positive_90.png
Fabula Maps,Web-mapping tool,Personal computer,2,No,Web-based,Baelish,Beginner,Proprietary,Unknown,"Basic Visualization, Web Mapping, Multimedia Support",
StoryMap JS,Web-mapping tool,Personal computer,2,No,Web-based,Self,Intermediate,Open Source (Free),Unknown,,https://i.ytimg.com/vi/hgIiCs90ERA/mqdefault.jpg
Google Fusion Tables,Web-mapping tool,Personal computer / VCL / NYU Labs,3,Yes,Web-based,"Tarth, Baratheon, Kingsguard, Tully",Beginner,Proprietary (Free for NYU),Faith of the Seven,"Data Discovery, Basic Visualization, Web Mapping, Thematic Maps, Geocoding",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/fusion_tables_icon.png
Palladio,Web-mapping tool,Personal computer / VCL / NYU Labs,2,Yes,Web-based,Stark,Beginner,Open Source,"Old Gods of the Forest, Faith of the Seven",,http://lgimages.s3.amazonaws.com/data/imagemanager/104706/palladio_icon.png
Time Mapper,Web-mapping tool,Personal computer / VCL / NYU Labs,1,No,Web-based,Free Folk,Beginner,Open Source,Unknown,,http://lgimages.s3.amazonaws.com/data/imagemanager/104706/timemapper3.png
,,,,,,,,,,,
NYU SDR,Database with mapping functionality,On-campus / Off-campus via VPN,4,Yes,Web-based,Lannister,Beginner,Proprietary (Free for NYU),Faith of the Seven,,http://s3.amazonaws.com/libapps/accounts/24837/images/NYU_Spatial_Data_Repository.png
Simply Map,Database with mapping functionality,On-campus / Off-campus via VPN,5,Yes,Web-based,"Lannister Kingsguard, Clegane",Beginner,Proprietary (Free for NYU),Unknown,"Data Discovery, Basic Visualization, Web Mapping, Thematic Maps",http://lgimages.s3.amazonaws.com/data/imagemanager/104706/simply_map_icon.png
